WVHT,DPD,APD,MWD,WTMP,time_sin
1.2,9,7.8,41,27.7,-0.991444861
1.2,13,8.1,212,27.9,-1
1.1,11,7.3,335,28.5,-0.991444861
1.2,13,7.9,271,28.7,-0.965925826
1.2,13,7.8,235,28.7,-0.923879533
1.2,10,7.5,56,28.5,-0.79335334
1.3,13,7.8,241,28.7,-0.707106781
1.2,10,7.4,34,28.7,-0.608761429
1.3,10,7.6,45,28.7,-0.5
1.3,13,7.5,249,28.7,-0.382683432
1.3,13,7.2,255,28.9,-0.258819045
1.3,13,7.3,247,28.9,-0.130526192
1.4,10,7.2,53,28.9,1.22E-16
1.4,13,7.6,283,29,0.130526192
1.4,13,7.3,261,29,0.258819045
1.4,13,7.3,272,29,0.382683432
1.4,10,7.1,36,29,0.5
1.5,13,7.2,256,29,0.608761429
1.4,9,7,55,29,0.707106781
