#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 08 27 999 99.0 99.0  0.56  9.88  3.25  99 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 08 57 999 99.0 99.0  0.55 16.67  3.11  98 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 09 27 999 99.0 99.0  0.54 10.53  3.36 109 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 09 57 999 99.0 99.0  0.50 10.53  3.60 102 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 10 27 999 99.0 99.0  0.51  2.50  3.27 337 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 10 57 999 99.0 99.0  0.56  9.88  3.34  88 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 11 27 999 99.0 99.0  0.51 15.38  3.40 109 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 11 57 999 99.0 99.0  0.53  9.88  3.47  89 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 12 27 999 99.0 99.0  0.53 12.50  3.37  91 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 12 57 999 99.0 99.0  0.53 12.50  3.48  96 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 13 27 999 99.0 99.0  0.52  9.09  3.65  91 9999.0 999.0   9.3 999.0 99.0 99.00
2010 01 05 13 57 999 99.0 99.0  0.52 12.50  3.30  92 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 14 27 999 99.0 99.0  0.54  2.63  3.40 291 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 14 57 999 99.0 99.0  0.52  2.63  3.39 291 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 15 27 999 99.0 99.0 99.00 99.00 99.00  94 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 15 57 999 99.0 99.0  0.52 15.38  3.39  91 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 16 27 999 99.0 99.0  0.55 15.38  3.24  98 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 16 57 999 99.0 99.0  0.52  2.70  3.18 314 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 17 27 999 99.0 99.0  0.53  2.63  3.12 312 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 17 57 999 99.0 99.0 99.00 99.00 99.00 109 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 18 27 999 99.0 99.0  0.51 12.50  3.25 104 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 18 57 999 99.0 99.0  0.54 15.38  3.09  96 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 19 27 999 99.0 99.0  0.55  2.70  3.08 293 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 19 57 999 99.0 99.0  0.57  2.70  3.04 286 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 20 27 999 99.0 99.0  0.59  2.70  3.02 303 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 20 57 999 99.0 99.0  0.58  2.94  3.11 289 9999.0 999.0   9.4 999.0 99.0 99.00
