#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 04 02 06 999 99.0 99.0  0.56  9.88  4.70 136 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 04 02 36 999 99.0 99.0  0.60  9.88  4.71 136 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 03 06 999 99.0 99.0  0.60  9.09  4.41 136 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 03 36 999 99.0 99.0  0.60  9.88  4.27 132 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 04 06 999 99.0 99.0  0.63  9.09  4.61 137 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 04 36 999 99.0 99.0  0.58  8.33  4.40 132 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 05 06 999 99.0 99.0  0.59  9.09  4.52 139 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 05 36 999 99.0 99.0  0.61  9.09  4.69 139 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 06 06 999 99.0 99.0  0.60  9.09  4.47 132 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 06 36 999 99.0 99.0  0.62  9.09  4.51 136 9999.0 999.0  17.7 999.0 99.0 99.00
2016 01 04 07 06 999 99.0 99.0  0.58  9.09  4.31 129 9999.0 999.0  17.6 999.0 99.0 99.00
2016 01 04 07 36 999 99.0 99.0  0.60  9.88  4.13 137 9999.0 999.0  17.6 999.0 99.0 99.00
2016 01 04 08 06 999 99.0 99.0  0.63  9.88  4.17 146 9999.0 999.0  17.6 999.0 99.0 99.00
2016 01 04 08 36 999 99.0 99.0  0.65  9.09  4.18 136 9999.0 999.0  17.6 999.0 99.0 99.00
2016 01 04 09 06 999 99.0 99.0  0.68  9.09  3.51 134 9999.0 999.0  17.6 999.0 99.0 99.00
2016 01 04 09 36 999 99.0 99.0  0.73  9.09  3.40 133 9999.0 999.0  17.6 999.0 99.0 99.00
2016 01 04 10 06 999 99.0 99.0  0.76  9.09  3.54 133 9999.0 999.0  17.5 999.0 99.0 99.00
2016 01 04 10 36 999 99.0 99.0  0.81  3.33  3.50  14 9999.0 999.0  17.5 999.0 99.0 99.00
2016 01 04 11 06 999 99.0 99.0  0.88  3.33  3.57   9 9999.0 999.0  17.5 999.0 99.0 99.00
2016 01 04 11 36 999 99.0 99.0  0.94  3.70  3.63  22 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 12 06 999 99.0 99.0  1.07  4.00  3.63  26 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 12 36 999 99.0 99.0  1.04  4.35  3.73  35 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 13 06 999 99.0 99.0  1.13  4.55  3.83  42 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 13 36 999 99.0 99.0  1.21  4.55  3.90  42 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 14 06 999 99.0 99.0  1.29  5.00  4.03  50 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 14 36 999 99.0 99.0  1.33  5.00  3.92  49 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 15 06 999 99.0 99.0  1.37  5.00  4.12  50 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 15 36 999 99.0 99.0  1.28  4.76  4.10  51 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 16 06 999 99.0 99.0  1.27  5.26  4.07  57 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 16 36 999 99.0 99.0  1.22  5.00  4.01  56 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 17 06 999 99.0 99.0  1.18  4.55  3.99  54 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 17 36 999 99.0 99.0  1.18  5.56  4.01  60 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 18 06 999 99.0 99.0  1.16  5.00  3.98  61 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 18 36 999 99.0 99.0  1.05  5.00  3.88  59 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 19 06 999 99.0 99.0  1.07  5.26  3.84  63 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 19 36 999 99.0 99.0  1.03  4.76  3.74  59 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 20 06 999 99.0 99.0  1.02  5.00  3.75  60 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 20 36 999 99.0 99.0  1.05  5.00  3.64  59 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 21 06 999 99.0 99.0  1.04  5.00  3.83  60 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 21 36 999 99.0 99.0  0.95  5.00  3.75  60 9999.0 999.0  17.4 999.0 99.0 99.00
