#YY  MM DD hh mm WVHT SwH SwP WWH WWP SwD WWD STEEPNESS APD MWD
2025 12 07 00 30  1.6  1.4 14.3  0.8  9.5  SW  NW      SWELL  9.8 224
2025 12 07 00 00  1.4  1.2 11.1  0.8  9.5 WSW  NW      SWELL  8.6 243
2025 12 06 23 30  1.5  1.3 15.4  0.8  9.5 SSW NNW      SWELL  9.1 213
2025 12 06 23 00  1.5  1.2 11.1  0.8  8.7  SW   N      SWELL  8.8 236
2025 12 06 22 30  1.5  1.2 15.4  0.9  8.7  SW NNE      SWELL  8.8 230
2025 12 06 22 00  1.4  1.2 13.3  0.8  8.7  NW NNE      SWELL  8.8 317
2025 12 06 21 30  1.4  1.2 11.8  0.8  9.5 WSW  NW      SWELL  8.7 241
2025 12 06 21 00  1.3  1.1 13.3  0.8  9.5  NW   N      SWELL  8.6 324
2025 12 06 20 30  1.4  1.2 13.3  0.8  9.5  NW   N      SWELL  9.2 316
2025 12 06 20 00  1.4  1.2 13.3  0.7  9.5  NW NNW      SWELL  9.6 325
2025 12 06 19 30  1.4  1.1 11.8  0.7  9.1   W   N      SWELL  9.2 271
2025 12 06 19 00  1.3  1.1 11.8  0.7  8.7   W NNE      SWELL  9.4 261
2025 12 06 18 30  1.2  1.0 13.3  0.7  8.7 NNW   N      SWELL  9.3 347
2025 12 06 18 00  1.2  1.0 14.3  0.8  9.1   N   N      SWELL  9.0 355
2025 12 06 17 30  1.3  1.0 12.5  0.7  9.5 NNW   N      SWELL  9.1 341
2025 12 06 17 00  1.3  1.0 12.5  0.8  9.5 NNW NNW      SWELL  9.0 342
2025 12 06 16 30  1.4  1.1 13.3  0.8  9.5 NNW   N      SWELL  9.3 337
2025 12 06 16 00  1.3  1.1 14.3  0.7  9.1 NNW   N      SWELL  9.3 344
2025 12 06 15 30  1.2  0.9 13.3  0.7  8.3 NNW NNE      SWELL  8.7 340
2025 12 06 15 00  1.2  1.0 13.3  0.8  9.5 NNW NNW      SWELL  8.6 339
2025 12 06 14 30  1.3  1.1 13.3  0.8  9.5 NNW   N      SWELL  8.9 347
2025 12 06 14 00  1.4  1.1 14.3  0.8  9.1   N   N      SWELL  9.3 357
2025 12 06 13 30  1.3  1.0 12.5  0.8  9.5 NNW NNW      SWELL  8.9 344
2025 12 06 13 00  1.4  1.1 14.3  0.8  8.7 NNW   N      SWELL  9.1 348
2025 12 06 12 30  1.3  1.0 14.3  0.8  9.5   N NNW      SWELL  9.1   3
2025 12 06 12 00  1.3  1.0 13.3  0.8  9.1   N   N      SWELL  9.0 349
2025 12 06 11 00  1.3  1.0 13.3  0.8  9.5   N NNW      SWELL  8.8 353
2025 12 06 10 30  1.3  1.0 13.3  0.8  9.5 NNW NNW      SWELL  9.0 340
2025 12 06 10 00  1.4  1.1 13.3  0.8  9.1   N   N      SWELL  9.6 354
2025 12 06 09 30  1.2  1.0 13.3  0.8  8.7 NNW   N      SWELL  9.1 344
2025 12 06 09 00  1.3  1.0 13.3  0.7  9.5 NNW   N      SWELL  9.5 344
2025 12 06 08 30  1.2  1.0 13.3  0.7  9.5 NNW  NW      SWELL  9.5 347
2025 12 06 08 00  1.4  1.2 14.3  0.7  9.5 NNW   N      SWELL 10.3 347
2025 12 06 07 30  1.2  0.9 13.3  0.7  9.5 NNW   N      SWELL  9.3 348
2025 12 06 07 00  1.2  1.0 13.3  0.7  8.7 NNW   N      SWELL  9.8 347
2025 12 06 06 30  1.2  1.0 13.3  0.7  9.5   N   N      SWELL  9.6 353
2025 12 06 06 00  1.4  1.1 13.3  0.8  9.5   N   N      SWELL  9.9 353
2025 12 06 05 30  1.3  1.1 13.3  0.7  9.5 NNW NNW      SWELL 10.0 345
2025 12 06 05 00  1.2  1.0 13.3  0.6  9.5   N  NW      SWELL  9.9 349
2025 12 06 04 30  1.2  1.0 14.3  0.7  9.1   N NNW      SWELL  9.8 357
2025 12 06 04 00  1.2  1.0 14.3  0.7  9.5   N   N      SWELL  9.8 352
2025 12 06 03 30  1.3  1.2 12.5  0.6  9.5 NNW NNW      SWELL 10.1 338
2025 12 06 03 00  1.2  1.0 14.3  0.6  9.5   N NNW      SWELL  9.7 351
2025 12 06 02 30  1.3  1.1 13.3  0.7  9.5   N NNW      SWELL 10.1 349
2025 12 06 02 00  1.4  1.2 14.3  0.6  9.5 NNW NNW      SWELL 10.3 348
2025 12 06 01 30  1.4  1.2 13.3  0.6  9.5 NNW NNW      SWELL 10.4 347
2025 12 06 01 00  1.3  1.1 14.3  0.7  9.5 NNW   N      SWELL 10.1 350
