YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2018,1,8,17,29,0.65,10.53,4.57,130,7.6
2018,1,8,17,59,0.62,9.88,4.26,115,7.6
2018,1,8,18,29,0.63,9.88,4.41,132,7.6
2018,1,8,19,29,0.62,10.53,4.46,136,7.7
2018,1,8,19,59,0.63,10.53,4.28,127,7.6
2018,1,8,20,29,0.64,9.88,4.43,129,7.6
2018,1,8,20,59,0.65,10.53,4.72,122,7.6
2018,1,8,21,29,0.61,10.53,4.77,133,7.6
2018,1,8,21,59,0.61,9.88,5.05,134,7.6
2018,1,8,22,29,0.58,9.88,5.01,130,7.6
2018,1,8,23,29,0.61,10.53,5.33,129,7.6
2018,1,8,23,59,0.63,9.88,5.2,129,7.6
2018,1,9,0,29,0.57,10.53,4.94,123,7.6
2018,1,9,0,59,0.59,9.88,5.01,126,7.6
2018,1,9,1,29,0.57,9.88,5.06,129,7.6
2018,1,9,1,59,0.6,9.88,5.13,130,7.6
2018,1,9,2,29,0.55,9.88,5.03,134,7.6
2018,1,9,3,29,0.55,9.09,4.87,120,7.6
2018,1,9,3,59,0.61,10.53,5.37,132,7.6
2018,1,9,4,29,0.59,9.88,5.33,123,7.6
2018,1,9,4,59,0.58,10.53,5.08,125,7.6
2018,1,9,5,29,0.6,9.88,5.09,125,7.6
2018,1,9,5,59,0.61,9.88,5.2,137,7.6
2018,1,9,6,29,0.62,9.88,5.66,123,7.6
2018,1,9,6,59,0.6,9.88,5.65,122,7.6
2018,1,9,7,29,0.6,10.53,5.47,129,7.6
2018,1,9,7,59,0.59,11.11,5.5,130,7.6
2018,1,9,8,29,0.58,11.11,5.6,134,7.6
2018,1,9,8,59,0.56,10.53,5.54,132,7.6
2018,1,9,9,29,0.56,9.88,5.69,137,7.5
2018,1,9,9,59,0.57,10.53,5.74,130,7.6
2018,1,9,10,29,0.55,11.11,5.95,133,7.5
2018,1,9,10,59,0.51,11.11,5.97,129,7.5
2018,1,9,11,29,0.54,10.53,6.3,130,7.5
2018,1,9,11,59,0.54,10.53,6.41,137,7.5
2018,1,9,12,29,0.56,9.88,6.5,134,7.4
2018,1,9,12,59,0.53,9.88,6.31,132,7.4
2018,1,9,13,29,0.52,10.53,6.41,133,7.5
2018,1,9,13,59,0.59,9.88,6.85,136,7.5
2018,1,9,14,29,0.56,9.88,6.63,122,7.5
2018,1,9,15,29,0.54,9.09,6.43,129,7.6
2018,1,9,15,59,0.55,10.53,6.6,136,7.6
2018,1,9,16,29,0.59,9.09,6.65,129,7.8
2018,1,9,16,59,0.56,9.09,6.58,130,8
2018,1,9,17,29,0.54,10.53,6.68,125,8.2
2018,1,9,17,59,0.54,10.53,7.01,133,8.3
2018,1,9,18,29,0.56,9.88,7.1,125,8.2
2018,1,9,19,29,0.55,9.88,7.21,147,8.1
2018,1,9,19,59,0.51,9.88,6.96,141,8.1
2018,1,9,20,29,0.5,10.53,6.85,141,8.1
2018,1,9,20,59,0.56,10.53,7.1,136,8.1
2018,1,9,21,29,0.58,9.88,7.31,132,8
2018,1,9,21,59,0.56,10.53,7.27,132,8
2018,1,9,22,29,0.6,9.88,7.4,136,7.9
2018,1,9,23,29,0.53,9.88,6.93,126,7.9
2018,1,9,23,59,0.53,10.53,7.18,133,7.9
2018,1,10,0,29,0.58,9.88,7.59,137,7.9
2018,1,10,0,59,0.54,9.88,7.1,125,7.8
2018,1,10,1,29,0.6,10.53,7.66,129,7.8
2018,1,10,1,59,0.59,9.88,7.68,134,7.8
2018,1,10,2,29,0.53,11.11,7.3,134,7.8
2018,1,10,3,29,0.51,11.11,6.43,132,7.7
2018,1,10,3,59,0.58,10.53,5.99,133,7.7
2018,1,10,4,29,0.59,10.53,5.27,133,7.7
2018,1,10,4,59,0.65,10.53,4.65,143,7.7
2018,1,10,5,29,0.75,9.88,4.51,139,7.8
2018,1,10,5,59,0.78,9.88,4.34,133,7.8
2018,1,10,6,29,0.83,9.88,4.29,137,7.8
2018,1,10,6,59,0.88,10.53,4.31,141,7.8
2018,1,10,7,59,0.97,4.76,4.32,88,7.8
2018,1,10,8,29,0.97,9.88,4.55,130,7.8
2018,1,10,8,59,0.95,4.76,4.48,87,7.8
2018,1,10,9,29,0.89,10.53,4.46,143,7.8
2018,1,10,9,59,0.92,4.76,4.27,89,7.7
2018,1,10,10,29,0.94,9.88,4.28,134,7.7
2018,1,10,11,29,0.98,10.53,4.25,137,7.7
