#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP,SwH,SwP,WWH,WWP,SwD,WWD
2025,11,27,7,56,0.9,6,4.5,166,16.7,0.1,11.1,0.8,6.7,ESE,SSE
2025,11,27,7,26,0.9,7,4.6,164,16.7,0.1,11.1,0.8,6.2,ESE,S
2025,11,27,6,56,0.9,7,4.7,166,16.7,0.1,11.8,0.8,6.2,ESE,SSE
2025,11,27,6,26,0.9,6,4.8,169,16.7,0.1,11.1,0.8,6.7,ESE,SSE
2025,11,27,5,56,0.9,7,4.8,160,16.7,0.1,11.8,0.9,6.7,ESE,SSE
2025,11,27,5,26,0.9,6,4.9,160,16.8,0.1,11.1,0.9,5.9,ESE,S
2025,11,27,4,56,1,7,5,159,16.8,0.1,11.8,0.9,7.1,ESE,SSE
2025,11,27,4,26,0.9,6,4.7,170,16.8,0.1,11.8,0.9,6.2,ESE,SSE
2025,11,27,3,56,1,6,4.8,162,16.8,0.1,11.1,0.9,6.7,ESE,SSE
2025,11,27,3,26,0.9,6,4.6,162,16.8,0.1,11.8,0.9,5.9,ESE,S
2025,11,27,2,56,0.9,6,4.8,164,16.8,0.1,11.1,0.9,6.2,ESE,SSE
2025,11,27,2,26,0.9,6,4.6,162,16.8,0.1,11.1,0.9,5.9,SE,SSE
2025,11,27,1,56,0.9,6,4.3,157,16.8,0.1,11.8,0.9,6.2,ESE,SSE
2025,11,27,1,26,1,6,4.4,160,16.8,0.1,11.8,0.9,6.2,E,SSE
2025,11,27,0,56,1,6,4.3,164,16.9,0.1,11.8,0.9,6.2,ESE,SSE
2025,11,27,0,26,1,6,4.4,160,16.9,0.1,11.8,1,5.9,ESE,SSE
2025,11,26,23,56,1,6,4.2,153,16.9,0.1,11.1,0.9,5.6,SE,SSE
2025,11,26,23,26,1,6,4.3,171,16.9,0.1,11.8,1,5.9,ESE,SSE
