#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 11 29 15 26  0.9  0.1 10.5  0.9  4.3  SE ENE VERY_STEEP  3.7  62
2025 11 29 14 56  1.0  0.1 10.5  1.0  4.5 ESE ENE VERY_STEEP  3.7  60
2025 11 29 14 26  1.0  0.1 10.5  1.0  4.5 ENE  NE VERY_STEEP  3.7  56
2025 11 29 13 56  1.0  0.1 10.5  1.0  4.8 ESE ENE VERY_STEEP  3.7  58
2025 11 29 13 26  1.0  0.1 10.5  1.0  4.8   E  NE VERY_STEEP  3.7  56
2025 11 29 12 56  1.0  0.1 11.1  1.0  4.3 ESE  NE VERY_STEEP  3.7  55
2025 11 29 12 26  1.0  0.1 11.1  1.0  4.5   E ENE VERY_STEEP  3.6  60
2025 11 29 11 56  1.0  0.1 10.5  1.0  4.5   E  NE VERY_STEEP  3.6  52
2025 11 29 11 26  0.9  0.1 10.5  0.9  4.0  SE  NE VERY_STEEP  3.6  52
2025 11 29 10 56  1.0  0.1 11.1  1.0  4.3   E  NE VERY_STEEP  3.7  52
2025 11 29 10 26  0.9  0.1 10.5  0.9  4.3   E  NE VERY_STEEP  3.6  48
2025 11 29 09 56  0.9  0.1 10.5  0.9  4.2 ESE  NE VERY_STEEP  3.6  49
2025 11 29 09 26  1.0  0.1 11.1  1.0  4.5 ESE  NE VERY_STEEP  3.7  50
2025 11 29 08 56  1.0  0.1 10.5  1.0  4.5   E  NE VERY_STEEP  3.7  50
2025 11 29 08 26  0.9  0.1 10.5  0.9  4.3 ESE  NE VERY_STEEP  3.6  38
2025 11 29 07 56  0.9  0.1 10.5  0.9  4.3 ESE  NE VERY_STEEP  3.6  38
2025 11 29 07 26  1.0  0.1 10.5  0.9  4.2   E  NE VERY_STEEP  3.6  35
2025 11 29 06 56  1.0  0.1 10.5  1.0  4.2 ESE  NE VERY_STEEP  3.5  39
2025 11 29 06 26  1.0  0.1 11.1  1.0  4.0 ENE NNE VERY_STEEP  3.5  32
2025 11 29 05 56  0.9  0.1 10.5  0.9  3.6  SE  NE VERY_STEEP  3.3  34
2025 11 29 05 26  0.7  0.1 10.5  0.7  3.2 ESE NNE        N/A  3.1  28
2025 11 29 04 56  0.5  0.1 10.5  0.5  8.3 ESE ESE        N/A  3.0 114
2025 11 29 04 26  0.5  0.1 10.5  0.5  8.3 ESE   E        N/A  3.1 101
2025 11 29 03 56  0.5  0.1 11.1  0.5  3.1  SE  NE        N/A  3.0  43
2025 11 29 03 26  0.5  0.1 10.5  0.5  3.0 ESE  NE        N/A  3.0  36
2025 11 29 02 56  0.5  0.1 11.8  0.5  2.9   E  NE        N/A  3.0  36
2025 11 29 02 26  0.5  0.1 11.8  0.5  7.1   E   E        N/A  3.1  94
2025 11 29 01 56  0.4  0.1 10.5  0.4  7.7 ESE   E        N/A  3.1 101
2025 11 29 01 26  0.4  0.1 11.1  0.4  2.6  SE NNE        N/A  3.1  15
2025 11 29 00 56  0.4  0.1 10.5  0.4  2.9   E NNE        N/A  3.0  21
2025 11 29 00 26  0.5  0.1 10.5  0.5  2.9 ESE NNE        N/A  3.0  18
2025 11 28 23 56  0.5  0.1 10.5  0.5  2.7 ENE   N        N/A  3.0   4
2025 11 28 23 26  0.5  0.1 10.5  0.5  2.6 ESE   N        N/A  2.9 349
2025 11 28 22 56  0.5  0.1 11.1  0.5  2.7   E NNW        N/A  3.0 346
2025 11 28 22 26  0.5  0.1 11.8  0.5  2.6 ESE NNW        N/A  2.9 333
2025 11 28 21 56  0.5  0.1 11.1  0.5  2.7 ESE  NW        N/A  2.9 320
2025 11 28 21 26  0.5  0.1 11.1  0.5  2.6 ESE  NW        N/A  2.9 306
2025 11 28 20 56  0.5  0.1 10.5  0.5  2.6   E  NW        N/A  2.8 318
2025 11 28 20 26  0.5  0.1 10.5  0.5  2.6   E  NW        N/A  2.8 309
2025 11 28 19 56  0.5  0.1 10.5  0.5  2.6  SE  NW        N/A  3.0 308
2025 11 28 19 26  0.5  0.1 10.5  0.5  2.6  SE  NW        N/A  3.0 313
2025 11 28 18 56  0.5  0.1 11.1  0.5  2.6 ESE  NW        N/A  2.9 322
2025 11 28 18 26  0.5  0.1 11.1  0.5  2.4 ESE  NW        N/A  2.9 313
